names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Sctr,-0.28501496,-2.3216033,0.7756326732770824,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Rpap2,-0.28684923,-2.0130215,0.7742277703525613,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Opcml,-0.293128,-1.2416285,0.769424300488569,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Fchsd2,-0.2958794,-0.7447294,0.7673221822516842,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Fat1,-0.301876,-0.4615728,0.7627465891422347,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Il1rapl1,-0.3042041,-23.164759,0.7609724042519722,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Gm2694,-0.3042041,-23.317581,0.7609724042519722,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Gfra1,-0.30759043,-1.5228353,0.7583940162636265,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Slc39a11,-0.3078726,-1.6645814,0.7581792713927369,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Cadps2,-0.31189385,-2.1296797,0.755121191507403,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Glis3,-0.31344593,-4.420408,0.7539419027440678,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Prkcd,-0.31760827,-0.5892888,0.7507821034808368,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
A2m,-0.31887814,-1.0943038,0.7498189257160033,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Pde1b,-0.3204302,-1.208467,0.7486422381414455,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Btbd3,-0.32289937,-0.65302354,0.7467714419795808,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Six3,-0.32311103,-3.6911972,0.7466111572547056,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Maml2,-0.32607406,-0.93891555,0.7443683248988967,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Rfx2,-0.32924873,-1.3888807,0.7419676941831066,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Robo1,-0.3328467,-1.394712,0.7392500123766754,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Mamdc2,-0.33933714,-1.0498697,0.7343557747699099,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Rgs9,-0.33976042,-2.3487835,0.7340369573980706,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Fam183b,-0.34117138,-3.5525148,0.7329745642339482,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Bdnf,-0.34963718,-1.9705287,0.7266110076346519,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Gpam,-0.35951394,-23.150145,0.7192106573293544,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Ptpro,-0.36776808,-2.6529717,0.7130461731657449,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
C1ql1,-0.36875576,-1.0496167,0.7123097870946724,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Ghr,-0.37228316,-0.8264829,0.7096820301668303,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Dhrs3,-0.37969074,-0.90496564,0.7041749989777977,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Zswim5,-0.38716885,-23.378277,0.6986312095223585,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Gpnmb,-0.38716885,-23.290848,0.6986312095223585,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Xkr6,-0.38716885,-23.508217,0.6986312095223585,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Dlk1,-0.38716885,-23.302439,0.6986312095223585,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Cnr1,-0.38865036,-2.3453245,0.6975348054399713,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Lair1,-0.39563465,-2.686131,0.6923745780854812,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Lypd1,-0.39817438,-2.0276124,0.6905016509925472,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Grip1,-0.40607578,-3.3700836,0.6846869185079663,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Per2,-0.4064991,-3.086326,0.684375937953283,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Mbd5,-0.41087306,-1.2849909,0.6811656136863045,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Herc3,-0.41496485,-2.2845967,0.6781676245486646,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Celsr1,-0.41679913,-2.663342,0.6768253469294541,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Bcar3,-0.4271697,-0.76603884,0.6692557194196728,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Phf21a,-0.42808685,-0.9818881,0.6685878971889021,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Efna5,-0.43641153,-2.024529,0.662538171220511,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Aldh1a1,-0.44473624,-0.23515214,0.656510383860625,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Hs3st3a1,-0.45179105,-3.4616408,0.6514195137428682,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
BC026585,-0.4657596,-1.5868888,0.6413875778981399,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Matn4,-0.46597126,-2.308917,0.6412360753195285,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Thbs4,-0.4701336,-23.826729,0.6382595675557045,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Eepd1,-0.4784583,-1.7578274,0.6323240487290713,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Robo2,-0.48325557,-1.2366241,0.6289142759667834,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Dock4,-0.49369672,-2.2413082,0.6215203805172377,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Dennd2a,-0.49976388,-0.8210076,0.6172413518921269,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Itpkb,-0.5003988,-0.5661869,0.6167942933508458,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Fgd6,-0.5022331,-1.4632343,0.6155035891256657,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Dock7,-0.5063954,-0.92909807,0.6125790969163047,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Aspa,-0.5063954,-2.597864,0.6125790969163047,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
A730056A06Rik,-0.52544343,-23.706701,0.5992749628438528,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Eya1,-0.535038,-2.0770547,0.5926235792128944,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Ext1,-0.53835374,-1.5437567,0.5903328357559576,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
1700113A16Rik,-0.54505587,-2.9693522,0.5857151027314554,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Vav3,-0.5454791,-4.12362,0.5854240202117219,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Park2,-0.5530984,-23.639858,0.5801960617391555,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
4932443I19Rik,-0.5530984,-24.022985,0.5801960617391555,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Csmd1,-0.56099975,-3.0054183,0.5747976994373402,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Lrrc4c,-0.5707354,-2.5899768,0.568179003812948,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Tnr,-0.5794834,-2.168537,0.5622630402078235,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Rfx3,-0.58075327,-1.4115762,0.5614067505295008,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Nr3c2,-0.5811766,-2.2866488,0.5611214608724444,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Shroom3,-0.5839985,-3.6654835,0.5592213248004441,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Smad9,-0.5904184,-3.8551855,0.5549101868911318,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Cachd1,-0.59309924,-1.29705,0.5531147522998034,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
