names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Slc6a6,1.3175527,1.3735805,0.18765345143173995,0.6795260257172748,astrocyte_vs_microglial cell,astrocyte,microglial cell
Klf4,1.31685,2.685087,0.18788894611082652,0.6795260257172748,astrocyte_vs_microglial cell,astrocyte,microglial cell
Pkib,1.3077142,2.1127958,0.19097024849302224,0.689423279758203,astrocyte_vs_microglial cell,astrocyte,microglial cell
Csf2rb,1.3023559,25.213184,0.19279476957599173,0.6922612911166668,astrocyte_vs_microglial cell,astrocyte,microglial cell
H2-Ab1,1.3023559,25.285439,0.19279476957599173,0.6922612911166668,astrocyte_vs_microglial cell,astrocyte,microglial cell
Sirt2,1.224088,0.23321751,0.2209190322629977,0.7806326228374477,astrocyte_vs_microglial cell,astrocyte,microglial cell
Hba-a1,1.1919376,1.0323858,0.23328572426763672,0.8156843505861424,astrocyte_vs_microglial cell,astrocyte,microglial cell
Slc26a2,1.1712946,2.1471298,0.24148040588762076,0.8428635458555699,astrocyte_vs_microglial cell,astrocyte,microglial cell
Slc46a1,1.1513542,1.1165546,0.24958652875111687,0.8621296329917681,astrocyte_vs_microglial cell,astrocyte,microglial cell
Tpm4,1.1421307,1.1223977,0.25339967007767505,0.8722880209214288,astrocyte_vs_microglial cell,astrocyte,microglial cell
Chmp1a,1.1366845,0.46553698,0.2556701947390281,0.8785917344983784,astrocyte_vs_microglial cell,astrocyte,microglial cell
Mag,1.1163929,1.7385741,0.26425401174687146,0.903432518792723,astrocyte_vs_microglial cell,astrocyte,microglial cell
Acvrl1,1.0232795,24.855003,0.3061756700146502,1.0,astrocyte_vs_microglial cell,astrocyte,microglial cell
Cdk6,1.019678,3.5240498,0.30788117912946333,1.0,astrocyte_vs_microglial cell,astrocyte,microglial cell
Zfp36l1,0.9914805,0.2911503,0.3214509922760951,1.0,astrocyte_vs_microglial cell,astrocyte,microglial cell
Spp1,0.9733849,3.910545,0.3303620212080244,1.0,astrocyte_vs_microglial cell,astrocyte,microglial cell
